__label__negative	I hate practicing on that old equipment.
__label__neutral	I'll suggest more time for answering questions.
__label__positive	In this meeting I noticed that there is an increase in knowledge and development of social skills over the participants.
__label__positive	 I’m of the opinion that the talk was not boring
__label__positive	Amazing how easy it was for you to carry out an interesting meeting.
__label__negative	It was too long.
__label__positive	Finally somebody fixed the air conditioning.
__label__positive	Finally somebody took care of all the technical problems.
__label__negative	Some of us have more important things to do, than to sit and stare on one picture for an hour.
__label__neutral	Usually there is not enough men for the job.
__label__neutral	Are you convinced you’re right?
__label__negative	We are always arguing during those meetings and nobody reacts.
__label__positive	It was hard to part after the meeting.
__label__negative	I had an impression that the speaker wasn't sober.
__label__neutral	You should let us know the purpose and reason for the meeting before it takes place
__label__negative	I liked the topic but the presenting guy didn't manage to make me interested in listening.
__label__negative	You were very late.
__label__neutral	I remember similar topics covered in speeches during my initial training.
__label__neutral	Those windows without curtains make it impossible to see anything on the screen.
__label__positive	Not often can you see such performance!
__label__neutral	Maybe we could invite some quests?
__label__positive	You are the most wonderful man.
__label__negative	All the cables lying around the room are dangerous.
__label__neutral	They should know better how to react in such situations in future.
__label__neutral	For the next meeting please bring a mouse to the computers.
__label__positive	It was a pleasure to hear such a good speech.
__label__neutral	Could you please recommend how to solve this problem during your next speech?
__label__neutral	Maybe suggest us to take notes next time?
__label__neutral	Please distribute the report only to those who participated in the meeting
__label__positive	It's wonderful how they shine!
__label__negative	I didn't hear most important things because of the microphone.
__label__positive	I liked your style.
__label__positive	We listened with great interest.
__label__positive	It was a pleasure to listen to your speech!
__label__negative	We should have some new equipment to practice.
__label__negative	Who proposed this topic for our session?!
__label__positive	I hope I would be invited again.
__label__positive	He is doing an interesting talk
__label__negative	 I hold the view that the remarks presented during the speech were unfortunate
__label__positive	I love her punctuality
__label__positive	She helps without begin asked
__label__positive	The didactic content made everything much easier, it was amazing
__label__neutral	Alex should have told you all this.
__label__neutral	I suggest renewing our knowledge about first aid.
__label__positive	Timely starting your meetings would be much appreciated.
__label__neutral	I have the impression you wanted to say something different.
__label__neutral	Wider room for us all.
__label__negative	Everyone wanted to leave before you finished.
__label__positive	The sound of the place was really adequate, everything was heard perfect
__label__positive	He had the satisfaction of being the first to put it into operation.
__label__neutral	On the next occasion the presentation should be less extensive and much clearer.
__label__neutral	My delight in them is as varied as my moods.
__label__negative	Some headphones did not work.
__label__neutral	Although you have all been to the same meeting, it is possible that there may be misunderstandings, it is important to make clear the conclusions and next steps
__label__neutral	If you disagree with someone, express it in a kind and respectful manner, that is, challenge the idea and not the person.
__label__neutral	Using mobile phones should be forbidden.
__label__positive	The topics are very relevant to the problem in question.
__label__neutral	I recall seeing this somewhere already.
__label__neutral	Everyone should prepare a speech for each session.
__label__neutral	I fear we should do even more.
__label__negative	One of the participants was drunk and nobody reacted to his behavior.
__label__neutral	 If the nation goes to war, the military would need more of these devices
__label__neutral	You need to remove their opinion
__label__neutral	I recommend carrying out activities that encourage everyone's collaboration and participation to achieve the defined objective.
__label__negative	If this is what the Navy thinks i’m terrified.
__label__neutral	The reasone for MTO to express such opinion was obvious.
__label__neutral	We should think about some new quest, that e can invite to our discussion.
__label__positive	Hey, that was really well said!
__label__negative	The presenter did nothing as planned.
__label__negative	It was an awful meeting
__label__positive	Four letters mentioned Rev. Martin and the wonderful work he and Annie were doing with 'the poor mistaken souls.'
__label__neutral	There is an extraordinary session from October till Christmas.
__label__positive	 In my view the plan was calm 
__label__negative	The chairs are very uncomfortable.
__label__positive	You started right on time which is appreciated.
__label__negative	The presenter left no time to ask questions
__label__neyutral	The way of presenting the topic was surprising.
__label__negative	I didn't have a place to sit.
__label__positive	It's hard to think of any cons.
__label__neutral	I hope it would be improved.
__label__negative	At the time of that meeting it didn’t produce an effect upon me
__label__neutral	With just one presenter it would have been enough
__label__negative	We don't need so many breaks.
__label__negative	It seemed to me that the guy that was giving the lecture was drunk.
__label__negative	I think that one meeting to discuss the whole idea wasn't enough.
__label__negative	There's no time for such things.
__label__negative	I couldn’t read your tiny letters in the presentation.
__label__positive	Without those meetings it would be harder to survive this time.
