__label__HUM	Who loved Flash Gordon besides Dale ?
__label__HUM	Who invented the Wonderbra ?
__label__HUM	What U.S. university boasts the largest library ?
__label__ENTY	What blood sport features a movement called a veronica ?
__label__ENTY	What race is 1 , 137 miles long ?
__label__ENTY	What are some ways to help someone with Chicken Pox ?
__label__ENTY	What 1956 Grace Metalious novel was on the best-seller list for two years ?
__label__HUM	What U.S. Congressman said : `` Keep the faith , baby '' .
__label__DESC	What is Garry Kasparov famous for ?
__label__ENTY	What are the signs of a country going into a recession ?
__label__HUM	Who painted `` Soft Self-Portrait with Grilled Bacon '' ?
__label__DESC	What caused the death of Bob Marley ?
__label__HUM	What United States President had dreamed that he was assassinated ?
__label__ENTY	What 's been the ruin of many a poor boy in New Orleans ?
__label__ENTY	What astronomical phenomenon takes place in Jan. 1999 ?
__label__ENTY	What is a fear of food ?
__label__NUM	What is Columbia Tristar 's phone number ?
__label__ENTY	What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?
__label__LOC	What arch can you see from the Place de la Concorde ?
__label__ABBR	What does JESSICA mean ?
__label__DESC	What facial feature did Walt Disney sport that none of Disney 's employees is allowed to ?
__label__HUM	What dummy received an honorary degree from Northwestern University ?
__label__DESC	What did Mighty Mouse always sing as he went into action ?
__label__ENTY	What does Warner Bros. call a flightless cuckoo ?
__label__HUM	Who played the title role in I Was a Teenage Werewolf ?
__label__DESC	What is a conifer ?
__label__ENTY	What is the legal blood alcohol limit for the state of California ?
__label__DESC	What is the origin of the expression `` four-letter word '' ?
__label__DESC	What does the name `` Justin '' mean ?
__label__DESC	Why is Chicago named Chicago ?
__label__HUM	What university football team did O.J. Simpson take to the Rose Bowl ?
__label__DESC	How do you do a topic outline ?
__label__ENTY	What is another word for diet ?
__label__NUM	What year were the Olympic Games played in where Nadia Comaneci became popular ?
__label__NUM	What is the price for AAA 's liability auto insurance ?
__label__DESC	What is a wop ?
__label__ENTY	How do you say `` Grandma '' in Irish ?
__label__ENTY	What does a chairbound basophobic fear ?
__label__HUM	What TV family sometimes buys eclairs from Nelson 's Bakery ?
__label__DESC	What is deadrise , nautical , ?
__label__HUM	Who was the first President to appoint a woman to head a cabinet ?
__label__DESC	What are the words to the song sung by `` Banana in Pajamas '' ?
__label__HUM	Whose special bear 's creator was born on January 18 , 1779 ?
__label__NUM	How many holes are there in a tenpin bowling ball ?
__label__HUM	What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
__label__ENTY	What is the smallest thing seen under the most powerful microscope , and how big is it ?
__label__ENTY	What is the only vegetable that starts with `` z '' ?
__label__LOC	In what state was the first co-educational college established
__label__ENTY	What is glass made of ?
__label__DESC	What is Archimedes famous for ?
__label__DESC	What 's the proud claim to fame of the young women who formed Kappa Alpha Theta ?
__label__DESC	What is the spectrum of a sine wave ?
__label__DESC	How do you reference a website ?
__label__HUM	What character narrates Treasure Island ?
__label__HUM	Who has more DNA - a man or a woman ?
__label__ENTY	What is the fear of being loved ?
__label__HUM	What comedian created a punch-drunk pugilist named Cauliflower McPugg ?
__label__DESC	Why do horseshoes bring luck ?
__label__ENTY	Name Li 'l Abner 's favorite Indian drink .
__label__NUM	What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?
__label__HUM	Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?
__label__DESC	What is carpal tunnel syndrome ?
__label__HUM	Who wrote the song , `` Stardust '' ?
__label__NUM	What are the odds of giving birth to twins ?
__label__LOC	What cathedral was Thomas Becket murdered in ?
__label__DESC	How is silk screening done ?
__label__DESC	What does the word affiant mean ?
__label__HUM	Who should I call to get a tour of the New York Stock Exchange ?
__label__LOC	What direction do the best surfing beaches face ?
__label__LOC	Where are good science sites on the Internet ?
__label__LOC	Where did the name Daniel originate ?
__label__ENTY	What did Shostakovich write for Rostropovich ?
__label__NUM	How many movies has Drew Barrymore been in ?
__label__HUM	Who was the most famous food editor of The New York Times ?
__label__DESC	What is the origin of blue for boys and pink for girls ?
__label__ENTY	How do you say 2 in Latin ?
__label__DESC	What causes the redness in your cheeks when you blush ?
__label__ENTY	What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?
__label__DESC	What do bee hives do in cranberry bogs ?
__label__ENTY	What was the species of Winnie the Pooh ?
__label__HUM	Name the first Russian astronaut to do a spacewalk .
__label__DESC	How do you get silly putty out of fabric ?
__label__LOC	What is Stefan Edberg 's native country ?
__label__NUM	What is the world record for the longest hair ?
__label__DESC	How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?
__label__LOC	What country do the Galapagos Islands belong to ?
__label__HUM	What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?
__label__LOC	What country boasts Ismail 's Palace and the Palace of King Farouk ?
__label__DESC	What is Spumante ?
__label__HUM	What President lived at 219 North Delaware Street , Independence , Missouri ?
__label__NUM	What was Joe Namath 's first contract worth ?
__label__NUM	How old was Gene Siskel ?
__label__DESC	Why are ice cream sundaes called sundaes ?
__label__ABBR	What is the abbreviation for Original Equipment Manufacturer ?
__label__NUM	What will the increase be in the California gas tax by 2000 ?
__label__NUM	How many CDs has Garth Brooks sold ?
__label__ENTY	What was the alternate to VHS ?
__label__ENTY	What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?
__label__ENTY	What is the largest sculpture in the world ?
__label__ENTY	What are some tips for building a fire in a fireplace ?
__label__HUM	What is Nicholas Cage 's profession ?
__label__DESC	How do they find an epicenter ?
__label__NUM	What year was the first automobile manufactured ?
__label__NUM	Boxing Day is celebrated on what date ?
__label__DESC	What is prepared mustard ?
__label__HUM	Who was the only U.S. President to wear a Nazi uniform ?
__label__ENTY	What do West Indian steel bands use as instruments ?
__label__LOC	On what river is Strasbourg built ?
__label__LOC	What was the first town to be chartered in Vermont ?
__label__LOC	What country 's capital was formed when Pesth and Buda merged ?
__label__ENTY	What are some translations of the phrase `` Thank-you '' ?
__label__ENTY	What newspaper returned a Pulitzer Prize for the fraudulent story Jimmy 's World ?
__label__LOC	What country is Kosovo a part of ?
__label__DESC	What is the difference between molecules and compounds ?
__label__ENTY	What is the primary language of the Philippines ?
__label__NUM	How many `` eyes '' does a coconut have ?
__label__NUM	How many three-letter permutations can be made from the four letters : c ?
__label__NUM	How many cubic feet of space does a gallon of water occupy ?
__label__DESC	What is Toulmin logic ?
__label__ENTY	What is a fear of machinery ?
__label__DESC	How do you handle a hungry man ?
__label__HUM	Who did Jackie Kennedy commission to write The Death of a President ?
__label__LOC	What U.S. state does the Continental Divide leave to enter Canada ?
__label__ENTY	What colors make up a rainbow ?
__label__HUM	Who were the five Marx brothers ?
__label__ENTY	What are the different approaches of systems analysis ?
__label__LOC	Which continent has the most roses ?
__label__NUM	When does menstruation begin ?
__label__NUM	When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?
__label__ENTY	What does a farrier put shoes on ?
__label__NUM	What is the number of American soldiers deployed to South Korea ?
__label__ENTY	What layer of the atmosphere contains most of the ozone layer ?
__label__DESC	What is home banking ?
__label__NUM	How many freckles does Howdy Doody have on his face ?
__label__HUM	Who was Hitler 's minister of propaganda ?
__label__HUM	Who made Stonehenge ?
__label__ENTY	What Shakespeare play opens with the line : `` Now is the winter of our discontent.. . '' ?
__label__DESC	What is graduate school ?
__label__DESC	What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?
__label__DESC	What does `` Janelle '' mean ?
__label__LOC	In what part of the world is Mozambique ?
__label__NUM	How many Gutenberg Bibles are there ?
__label__ENTY	In Beetle Bailey , can you name Sarge 's dog ?
__label__ABBR	What is the full form of .com ?
__label__LOC	What is the nickname of Pennsylvania ?
__label__NUM	What 's a perfect score in a gymnastics exercise ?
__label__ENTY	What is the term that describes a word where only one usage has been recorded in all literature ?
__label__LOC	What is the largest city in Connecticut ?
__label__ENTY	What Stephen Sondheim ballad ends : `` Well , maybe next year.. . '' ?
__label__HUM	What actor 's autobiography is titled All My Yesterdays ?
__label__ENTY	What is a fear of slime ?
__label__ENTY	What did Thomas Paine write ?
__label__NUM	How many times a year does the American Gourd Society publish The Gourd ?
__label__HUM	What corporation does Madonna advertise for ?
__label__DESC	What makes you fat ?
__label__HUM	What creative genius said : `` Everything comes to him who hustles while he waits '' ?
__label__LOC	Where are some great educational resources for parents and teachers ?
__label__DESC	What are the most common causes of death in the U.S. ?
__label__NUM	The Olympic Games in which year allowed Nadia Comaneci to become popular ?
__label__ENTY	What 's the U.S. Navy hymn ?
__label__NUM	How many years of schooling after highschool does it take to become a neurosurgeon ?
__label__LOC	What country in 1998 had the most suicides regardless of population size ?
__label__DESC	What is making love ?
__label__DESC	What did John F. Kennedy consider his greatest blunder in office ?
__label__NUM	What are the lengths of pearl necklaces ?
__label__ENTY	What was the name of the U.S. 's first manned space program ?
__label__HUM	Who was Jean Nicolet ?
__label__ENTY	What 's the term for a bet before cards are dealt ?
__label__DESC	What does the name Gina mean ?
__label__NUM	What century did art 's Romantic Period begin in ?
__label__NUM	The film `` Jaws '' was made in what year ?
__label__NUM	When did the supercontinent Pangaea break up ?
__label__HUM	Who 's won the most Oscars for costume design ?
__label__ENTY	What is the West Virginia state animal ?
__label__DESC	How was Teddy Roosevelt related to FDR ?
__label__LOC	What capital is built around Monument Circle which contains soldiers and sailors monument ?
__label__LOC	What city is often called The Insurance Capital of the World ?
__label__NUM	What is the weight of a teaspoon of matter in a black hole ?
__label__HUM	What title did Suzette Charles assume for two months in 1984 ?
__label__NUM	How much Coca Cola is drunk in one day in the world ?
__label__ENTY	What was a California prayer book to an Old West gambler ?
__label__ENTY	What vowel do all Esperanto nouns end in ?
__label__HUM	Who was the Russian ambassador to Hungary during the 1956 uprising ?
__label__ENTY	What is a softball made of ?
__label__HUM	What two commanders directed the forces in the Battle of El Alamein ?
__label__DESC	What is a green bog ?
__label__DESC	How do I contact Answers.com direct ?
__label__NUM	How many people in America snore ?
__label__DESC	Where did Indian Pudding come from ?
__label__ENTY	What war added jeep and quisling to the English language ?
__label__NUM	How many countries are there ?
__label__HUM	What actress has received the most Oscar nominations ?
__label__LOC	What mountain range is traversed by the highest railroad in the world ?
__label__HUM	What poet wrote : `` ... I have promises to keep , and miles to go before I sleep '' ?
__label__NUM	In what year did China and the Republic of Korea establish diplomatic relations ?
__label__DESC	What 's a water funnel ?
__label__DESC	What facial feature typically contains about 55 hairs ?
__label__ABBR	What does the abbreviation AIDS stand for ?
__label__HUM	Who is the fastest swimmer in the world ?
__label__ENTY	What is a fear of being cold ?
__label__LOC	What is the largest and most expensive freeway construction project in the U.S. right now ?
__label__NUM	How many frames does a disk camera shoot ?
__label__LOC	What country did the Allies invade in World War II 's Operation Avalanche ?
__label__ENTY	What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?
__label__ENTY	What is a fear of women ?
__label__HUM	Who invented basketball ?
__label__LOC	What is Mark McGwire 's e-mail address ?
__label__ENTY	What D.H. Lawrence novel was originally titled Tenderness ?
__label__HUM	Who followed Caesar ?
__label__ENTY	What is a fear of crystals or glass ?
__label__NUM	How far can a man travel in outer space ?
__label__DESC	What is the difference between jazz and blues ?
__label__LOC	What two European countries are joined by the Gran San Bernardo Pass ?
__label__HUM	Who are the top 10 richest people in the world ?
__label__LOC	What is the deepest area of the Arctic Ocean ?
__label__HUM	Whose video is titled Shape Up with Arnold ?
__label__ENTY	What 's played at Wembley Stadium , London , every May ?
__label__NUM	How long does it take the typical American to eat 23 quarts of ice cream ?
__label__NUM	What are the odds of giving birth to twins ?
__label__HUM	Who was Whitcomb Judson ?
__label__ENTY	What nutrients are for healthy bones and teeth ?
__label__ENTY	What poem contains the line , `` grow old with me the best is yet to be '' .
__label__DESC	What do players try to do when the music stops in a game of musical chairs ?
__label__ENTY	What are some good exercises for kids to do ?
__label__DESC	How does a rainbow form ?
__label__NUM	How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?
__label__LOC	What country claimed Rubens , Van Dyck and Bruegel as citizens ?
__label__DESC	What is a cake of soap ?
__label__DESC	How do I love thee ?
__label__LOC	Where is your corpus callosum ?
__label__ENTY	What do you call the feeling of having experienced something before ?
__label__LOC	What country contains Africa 's northernmost point ?
__label__DESC	How can I get some free technical information on Electric Vehicle ?
__label__DESC	How do I do this ?
__label__LOC	What city was Martin Luther King Jr. assassinated in ?
__label__HUM	Who killed Caesar ?
__label__ENTY	What are the most albums sold by one artist or band ?
__label__NUM	When was the G7 group of nations formed ?
__label__NUM	How many trees go into paper making in a year ?
__label__LOC	Where was Poe born ?
__label__DESC	How do you buy stocks ?
__label__ABBR	What does the T.S. stand for in T.S. Eliot 's name ?
__label__HUM	Who built the first successful stern wheel steamboat ?
__label__ENTY	What does an irate car owner call iron oxide ?
__label__DESC	What are the environmental influences on plant genetics ?
__label__HUM	Who is behind the name of the Harvey Wallbanger drink ?
__label__DESC	What is the origin of the expression `` tout de suite '' ?
__label__LOC	In What city or state do the most gay men live in ?
__label__HUM	Who was Charles Lindbergh 's wife ?
__label__NUM	How many sides does an obelisk have ?
__label__ENTY	What is another name for nearsightedness ?
__label__ENTY	What is the name of the Michelangelo painting that shows two hands with fingers touching ?
__label__HUM	What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?
__label__ENTY	What are the snakes of New England ?
__label__NUM	What was the first minimum wage ?
__label__ENTY	What is Jell-O made from ?
__label__NUM	How long does it take for your blood to make one complete trip through the body ?
__label__ENTY	Which is a real berry : blackberry , cranberry , raspberry , strawberry ?
__label__NUM	What is the recomended age to switch a child from a crib to a bed ?
__label__ENTY	What non-alcoholic syrup is made from pomegranate juice ?
__label__HUM	What Catch-22 character is elected mayor of half a dozen Italian cities ?
__label__NUM	How many degrees cooler is the inside of a cucumber than the air outside ?
__label__DESC	What is hypertext ?
__label__DESC	What do the figures represent on the Easter Island ?
__label__DESC	What is so powerful about Power Bars ?
__label__DESC	How do you make a computer chip ?
__label__ENTY	Stuart Hamblen is considered to be the first singing cowboy of what ?
