__label__LOC	What is the largest shopping mall in the world ?
__label__NUM	About how many Americans are still unaccounted for from the Vietnam war ?
__label__NUM	How many colleges are in Wyoming ?
__label__LOC	What state has the longest Great Lakes shoreline ?
__label__HUM	What baseball player was walked the most times ?
__label__DESC	What is the main application of sodium hydrosulfite ?
__label__NUM	What month of the year is there no television in Iceland ?
__label__HUM	What Japanese electronics company was named for a coastal city northeast of Tokyo ?
__label__LOC	Where did the Battle of the Bulge take place ?
__label__HUM	What actor , who had greatest fame on TV , became the father of triplets ?
__label__ENTY	Aspartame is also known as what ?
__label__NUM	What seven digits follow the area code in the number for long distance information ?
__label__HUM	What is the best distance education university or college ?
__label__LOC	What 's the tallest building in New York City ?
__label__NUM	How many penny-farthings are there on a Trivial Pursuit game board ?
__label__ENTY	What 's the term for any four-sided figure ?
__label__LOC	Where is the Orinoco ?
__label__ENTY	What is the most widely cultivated plant ?
__label__NUM	What is the life span of the average monkey ?
__label__ENTY	What 's another word that means `` knows all '' ?
__label__LOC	Where is Belize located ?
__label__HUM	What company started out making pies , and wound up manufacturing plastic throwing toys ?
__label__DESC	What are shooting stars ?
__label__HUM	Who are Woody Woodpecker 's niece and nephew ?
__label__ENTY	What sport do you shag flies in ?
__label__ENTY	What 's the term for an organism that lives on or in another ?
__label__LOC	Where is Santa Lucia ?
__label__HUM	Name the various costumed personas of Dr. Henry Pym .
__label__HUM	Who asked the musical question : `` Have you ever been to electric lady land ? ''
__label__LOC	What is the most useful site on the Internet ?
__label__ENTY	What is Smokey The Bear 's middle name ?
__label__DESC	What is a urologist ?
__label__LOC	What city was John F. Kennedy nominated for president in ?
__label__LOC	What state was named the Green Mountain state ?
__label__LOC	Where are there aborigines ?
__label__ENTY	What was Connecticut 's first constitution called ?
__label__HUM	Who is the prime minister of Australia ?
__label__ENTY	What is the nickname of the Cleveland Indians ?
__label__ENTY	What materials did the three little pigs use to build their houses ?
__label__HUM	What occupation has the highest divorce rate ?
__label__DESC	What is Sinn Fein ?
__label__HUM	What longtime game show host dropped dead while jogging in Central Park in 1984 ?
__label__LOC	Where can I find information about Bob Barr , representative from Georgia ?
__label__HUM	What was Marilyn Monroe 's real name ?
__label__ENTY	What sport do the Cleaveland Cavaliers play ?
__label__NUM	CNN began broadcasting in what year ?
__label__HUM	Who was the prophet of the Jewish people ?
__label__NUM	When was the first Wall Street Journal published ?
__label__DESC	What does a red flag mean in auto racing ?
__label__LOC	Which continent has the most roses ?
__label__DESC	What caused the Titanic to sink ?
__label__LOC	Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
__label__NUM	When was the internal combustion engine developed ?
__label__HUM	Who awarded The Flying Fickle Finger of Fate ?
__label__ENTY	What 's the largest U.S. agricultural crop by weight ?
__label__HUM	Who is the richest person in the world , without owning a business ?
__label__ENTY	What is the greatest source of `` white '' magic in the Marvel Universe ?
__label__HUM	What woman was Time 's Man of the Year for 1952 ?
__label__ENTY	What is the name of the medical condition in which a baby is born without a brain ?
__label__LOC	Where was George Washington born ?
__label__LOC	What is the oldest website on the Internet ?
__label__ENTY	What stringed weapon fires a bolt ?
__label__ENTY	What 's the largest letter in Salvador Dali 's signature ?
__label__ENTY	What beer 's name is translated as `` lion brew '' ?
__label__HUM	Who is Johnny Carson ?
__label__LOC	What U.S. state has the most blondes ?
__label__DESC	What is the function of the appendix ?
__label__NUM	How much does one ton of cement cost ?
__label__HUM	What rock group raised a ruckus at the White House by singing American Woman ?
__label__NUM	What was Joe Namath 's first contract worth ?
__label__HUM	Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?
__label__ENTY	What is damage to business and government caused by bureaucracy ?
__label__DESC	What is the spectrum of a sine wave ?
__label__HUM	Which Ventura County police department seized the largest cocaine shipment in it 's history ?
__label__ENTY	What are the various ways in which one can measure IT User Satisfaction Level ?
__label__HUM	Who is the composer of `` Canon in D Major '' ?
__label__DESC	What information can you get me on Fairground Park in St. Louis
__label__DESC	Why are the ears your center of balance ?
__label__ENTY	Which type of soda has the greatest amount of caffeine ?
__label__DESC	What is a Mexican hairless ?
__label__HUM	Who held the endurance record for women pilots in 1929 ?
__label__HUM	What are the four railways in Monopoly ?
__label__DESC	What are the lyrics to `` Smelly Cat '' ?
__label__DESC	What is a phalanx ?
__label__DESC	How does a scientific calculator work ?
__label__DESC	What is the origin of the typing practice sentence `` Now is the time for all good men to come to the aid of their country '' ?
__label__LOC	Where is the actress , Marion Davies , buried ?
__label__LOC	Where is Tornado Alley ?
__label__DESC	What will a compass do in outer space ?
__label__ENTY	What did Jimmy Stewart invent ?
__label__NUM	What is the fare cost for the round trip between New York and London on Concorde ?
__label__HUM	Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
__label__NUM	How long did Shea and Gould practice law in Los Angeles ?
__label__DESC	What does the name Shawn mean ?
__label__ENTY	What was Paul Bunyan 's ox 's name ?
__label__LOC	What country is located at 13 degrees North latitude and 10 degrees East longitude ?
__label__ENTY	What 's the common name for a Japanese dwarf tree ?
__label__HUM	Which two inventors invented Post-its ?
__label__HUM	Who made the musical plea Be True to Your School ?
__label__HUM	Who invented the Moog Synthesizer ?
__label__DESC	What is a philanthropist ?
__label__ABBR	What is the abbreviation of the International Olympic Committee ?
__label__LOC	What country did the Allies invade in World War II 's Operation Avalanche ?
