__label__subject	There should be a leader who has enough sensitivity to identify how he can empower each component of his team.
__label__subject	Many of the issues discussed at the meeting could be resolved with a simple email.
__label__performance_assessment	 The talk was amazing
__label__recommendations	Please leave something to take notes on
__label__time	Last time the meeting was very short in time.
__label__recommendations	You should replay that part and see it for yourself
__label__performance_assessment	Those meetings give me hope for a change,
__label__performance_assessment	 From my perspective the talk was not awful
__label__performance_assessment	I was surprised.
__label__performance_assessment	Now that is quality!
__label__time	There wasn't time for everyone to speak their minds.
__label__time	You finished just before the time was over, good job.
__label__technical	It was so crowdy today that it was hard to breath.
__label__recommendations	I like the idea of seeing movies as material, we can use that way of learning more often.
__label__subject	I think that we've run out with the subjects.
__label__recommendations	We need a leader, chairman… someone to menage the meeting.
__label__performance_assessment	She is very attentive to detail
__label__subject	Instead I listened to his harangue about the difficulties they encountered
__label__technical	Some headphones did not work.
__label__subject	How can we collaborate together to make this happen?
__label__subject	AWS should not play any part in the decision making process.
__label__recommendations	From my perspective the main idea presented in the course should be more often discussed.
__label__technical	The pointer did not work well.
__label__recommendations	Start at the announced time (at most, save 15 minutes of courtesy if many people are missing)
__label__performance_assessment	It's wonderful what a lot of our troops have gathered, lads!
__label__recommendations	The mentioned institutions should give more advice.
__label__recommendations	Hopefully you can create something like a roadmap that ensures that what you have worked at the meeting will be useful and certainly productive
__label__subject	Why should we bother if there is more CTO then DAS?
__label__subject	To be perfectly clear, I am not saying the Internet and technology will solve every human ill.
__label__time	Every time those meetings start at different time and end at different than it was written in a schedule.
__label__recommendations	What if next time we could just invite the important people?
__label__performance_assessment	It was a pleasure to take part in such event.
__label__recommendations	That group should drop out 
__label__performance_assessment	Thanks to that meetings I'm in better mood.
__label__subject	I hope we have more participation in choosing the topic of the next meeting
__label__subject	A leader is someone who knows the way, walks the way and shows the way. 
__label__recommendations	If you disagree with someone, express it in a kind and respectful manner, that is, challenge the idea and not the person.
__label__performance_assessment	After this meeting everyone had good mood!
__label__subject	I would like to discuss ways to facilitate it.
__label__time	I appreciate you taking the time from your busy schedule to talk to me.
__label__performance_assessment	You managed to engage the audience.
__label__performance_assessment	Well organized.
__label__performance_assessment	I couldn’t stop looking at the clock, I wanted to get out so quickly!
__label__performance_assessment	We all started arguing and nobody reacted and took care of the situation.
__label__time	In my opinion five minutes is too short.
__label__performance_assessment	Great figures and tables!
__label__time	When was the course suppose to end?
__label__performance_assessment	Waste of money and time.
__label__technical	The computers in the room are very old.
__label__recommendations	Before the meeting, the presenter should check that his objectives are clear and justify his need
__label__performance_assessment	It was a pleasure to hear such a good speech.
__label__performance_assessment	 I’m of the opinion that the talk was not boring
__label__performance_assessment	Challenging.
__label__technical	It is really hard to focus with such noise outside the room.
__label__performance_assessment	I was amazed.
__label__technical	The meeting room was untidy.
__label__time	I didn't get there on time, I'm sorry
__label__performance_assessment	His talk was amazing
__label__subject	The topics are very relevant to the problem in question.
__label__time	I think that five minutes for every opinion is enough.
__label__subject	I’m not sure why but I feel this is wrong.
__label__performance_assessment	I loved it
__label__time	I understand that there are only 15 minutes left before this meeting ends
__label__subject	I have the impression you wanted to say something different.
__label__performance_assessment	For the most part, though, her presentation was interesting 
__label__subject	All these are absurd rules
__label__technical	I thought that wi-fi would be available.
__label__performance_assessment	Because the boredom of the lecture made me drowsy
__label__time	I really appreciated that you’ve finished on time.
__label__performance_assessment	The presentation was accompanied by a kind of mathematical performance
__label__performance_assessment	You handled the audience perfectly.
__label__performance_assessment	I think that sticking to the schedule is not so important as answering all the questions.
__label__time	Was the meeting supposed to begin at 12?
__label__subject	I don’t know if the topic was good or bad as for now.
__label__performance_assessment	The speaker didn't answer any of the questions.
__label__performance_assessment	Thanks for your time
__label__performance_assessment	Not enough team working.
__label__time	A pity not everyone knows how to be as punctual as you are!
__label__subject	I don’t think this can be achieved.
__label__technical	Could someone fix the microphone?
__label__subject	I don’t understand.
__label__recommendations	There should be a leader, someone who would give a right direction to all those discussions.
__label__performance_assessment	This was a very boring meeting.
__label__technical	The translation was not heard.
__label__performance_assessment	He is a leader with charismatic ideas
__label__performance_assessment	I appreciated all the examples
__label__technical	The enumeration of the chairs for each assistant would be perfect, there would be more order.
__label__recommendations	Please make things more readable on you slides next time!
__label__performance_assessment	You expresses  concentration  
__label__subject	We need charismatic leaders in such situations
__label__recommendations	Perhaps we could bring guests for the next meeting?
__label__subject	True, Navy does need to change in this aspect.
__label__subject	Paying so much attention to occasional issues hinders our overall perception.
__label__recommendations	I would plan those meetings more in advance.
__label__technical	It was so stuffy in the conference room that I couldn’t focus at all!
__label__recommendations	Instead of getting angry, be practical.
__label__time	For the next meeting we hope to start and end the meeting at the planned hours
__label__subject	Considering the problems they presented, she could hardly blame him for that.
__label__recommendations	You should let us know the purpose and reason for the meeting before it takes place
__label__recommendations	Next time, a larger showroom would be much better.
__label__subject	She realizes  the commander was absurd
__label__subject	The presented idea may be eligible for the “idea of the month” award
__label__performance_assessment	Everyone was enjoying 
__label__recommendations	We need more fun.
__label__recommendations	I think he can do a better job
__label__subject	I am not happy with this solution, even if this problem was solved perfectly, it doesn't really end ignorance.
__label__performance_assessment	After what I heard today, I can’t wait till the next meeting.
__label__performance_assessment	I think that the microphone should be given to those who have something interesting to say.
__label__subject	Usually there is not enough men for the job.
__label__subject	Thank you very much for meeting with me yesterday regarding my current project.
__label__subject	 I hold the view that the remarks presented during the speech were unfortunate
__label__subject	The major shares information with peers and supervisors
__label__subject	 From my perspective the proposed changes to WTO are absurd
__label__recommendations	Try talking to the people seating in front of you next time, not to the room.
__label__subject	This time both arguments were presented 
__label__subject	In the ancient world, man wanted guidance from the gods on what he should do.
__label__subject	His delight in plans frequently appears in memorandums written to his soldiers during summer
__label__recommendations	There are tools that allow you to discuss many issues in an orderly manner and without the need to see yourself in person.
__label__subject	You divided the problem in 4 groups, but I think 6 would do better.
__label__performance_assessment	You have really improved since our last meeting.
__label__recommendations	You ought to be more polite.
__label__performance_assessment	It is a great experience
__label__performance_assessment	Too long breaks.
__label__performance_assessment	There was no harmony in this meeting.
__label__time	Meeting so late is hard.
__label__recommendations	Each participant must commit to meet dates, and in case of any inconvenience they must raise it to discuss a possible change.
__label__recommendations	We should have some impact on the results.
__label__subject	I think that we've exhausted the topic.
__label__recommendations	If the microphone is faulty it’s better not to use it….
__label__recommendations	I hope the commander can select the most suitable people to lead these meetings.
__label__performance_assessment	I don't suppose that anything would change after our discussion.
__label__performance_assessment	A bit hesitating
__label__subject	I don’t think repeating the same story all over again will make it true.
__label__subject	I will make sure to send you a follow-up when this project is completed.
__label__recommendations	Maybe suggest us to take notes next time?
__label__time	Every single part started late than it was scheduled.
__label__performance_assessment	I saw an absurd ritual in that meeting
__label__performance_assessment	Very interesting.
__label__technical	Every time the speaker has a problem with the computer.
__label__performance_assessment	It is important to be constructive always
__label__performance_assessment	I wanted to let you know how much I appreciated your help with the project.
__label__subject	 I guess frequent talking with people about such issues is working
__label__recommendations	We don't need so many breaks.
__label__performance_assessment	I don't feel like we've solved anything.
__label__performance_assessment	We were intrigued. 
__label__performance_assessment	Good as always.
__label__subject	The story you told us is a good example.
__label__technical	No one answers my e-mail concerning our meetings.
__label__performance_assessment	The presentation was very subjective and emotional.
__label__technical	No place to charge our laptops!
__label__subject	I don't like discussing the same thing all the time.
__label__time	Can I ask you to finish your talk on time?
__label__recommendations	I hope you have better tests for the next meeting
__label__performance_assessment	Now this is what I call a speech!
__label__performance_assessment	Great performance!
__label__performance_assessment	I anticipated the delight of talking to my general 
__label__subject	We can search for some new inspiration and new subjects to discuss.
__label__technical	The video beam was damaged.
__label__performance_assessment	Your description of the problem was thorough.
__label__recommendations	You should do a better job next time
__label__subject	I'm glad that we discussed this topic today.
__label__recommendations	What do you say if I help you next time?
__label__subject	Don’t you think it is about time we change this?
__label__subject	A young and innovative thinking according to the trend of your market.
__label__performance_assessment	It was such a mess...some of us started even playing cards.
__label__performance_assessment	It seemed to me that the guy that was giving the lecture was drunk.
__label__performance_assessment	After those meetings I always have a headache.
__label__performance_assessment	During the whole session he organized and directed the opposition in their attacks on the officials.
__label__performance_assessment	The presenter deviated from the main topic
__label__performance_assessment	I don't believe that it will change anything.
__label__performance_assessment	Hey, that was really well said!
